CLDR,Meaning,Note,Unicode
baby-dark-skin-tone,[],['\nThe Baby: Dark Skin Tone emoji is a modifier sequence combining 👶 Baby and 🏿 Dark Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBaby: Dark Skin Tone was added to Emoji 2.0 in 2015.\n']
baby-light-skin-tone,[],['\nThe Baby: Light Skin Tone emoji is a modifier sequence combining 👶 Baby and 🏻 Light Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBaby: Light Skin Tone was added to Emoji 2.0 in 2015.\n']
baby-medium-dark-skin-tone,[],['\nThe Baby: Medium-Dark Skin Tone emoji is a modifier sequence combining 👶 Baby and 🏾 Medium-Dark Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBaby: Medium-Dark Skin Tone was added to Emoji 2.0 in 2015.\n']
baby-medium-light-skin-tone,[],['\nThe Baby: Medium-Light Skin Tone emoji is a modifier sequence combining 👶 Baby and 🏼 Medium-Light Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBaby: Medium-Light Skin Tone was added to Emoji 2.0 in 2015.\n']
baby-medium-skin-tone,[],['\nThe Baby: Medium Skin Tone emoji is a modifier sequence combining 👶 Baby and 🏽 Medium Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBaby: Medium Skin Tone was added to Emoji 2.0 in 2015.\n']
baby-symbol,"['The symbol for a baby, usually used to indicate a room that is suitable to change a baby in. Often located in or near public restrooms.']",[],['\nBaby Symbol was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
baby,"['The face of a baby with a small tuft of hair on top of its head. Some platforms show the baby sucking on a pacifier, and some platforms show a single tooth in the baby’s open mouth. Android previously displayed this emoji as a swaddled baby.', 'On Snapchat, the baby emoji signifies a new friend on the service. This emoji can also be used in the context of the meme “I’m baby.”', 'See also 👼 Baby Angel.']",[],['\nBaby was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
back-arrow,[],[],['\nBack Arrow was approved as part of Unicode 6.0 in 2010 under the name “Back with Leftwards Arrow Above” and added to Emoji 1.0 in 2015.\n']
backhand-index-pointing-down-dark-skin-tone,[],['\nThe Backhand Index Pointing Down: Dark Skin Tone emoji is a modifier sequence combining 👇 Backhand Index Pointing Down and 🏿 Dark Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBackhand Index Pointing Down: Dark Skin Tone was added to Emoji 2.0 in 2015.\n']
backhand-index-pointing-down-light-skin-tone,[],['\nThe Backhand Index Pointing Down: Light Skin Tone emoji is a modifier sequence combining 👇 Backhand Index Pointing Down and 🏻 Light Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBackhand Index Pointing Down: Light Skin Tone was added to Emoji 2.0 in 2015.\n']
backhand-index-pointing-down-medium-dark-skin-tone,[],['\nThe Backhand Index Pointing Down: Medium-Dark Skin Tone emoji is a modifier sequence combining 👇 Backhand Index Pointing Down and 🏾 Medium-Dark Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBackhand Index Pointing Down: Medium-Dark Skin Tone was added to Emoji 2.0 in 2015.\n']
backhand-index-pointing-down-medium-light-skin-tone,[],['\nThe Backhand Index Pointing Down: Medium-Light Skin Tone emoji is a modifier sequence combining 👇 Backhand Index Pointing Down and 🏼 Medium-Light Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBackhand Index Pointing Down: Medium-Light Skin Tone was added to Emoji 2.0 in 2015.\n']
backhand-index-pointing-down-medium-skin-tone,[],['\nThe Backhand Index Pointing Down: Medium Skin Tone emoji is a modifier sequence combining 👇 Backhand Index Pointing Down and 🏽 Medium Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBackhand Index Pointing Down: Medium Skin Tone was added to Emoji 2.0 in 2015.\n']
