CLDR,Meaning,Note,Unicode
man-playing-water-polo-medium-light-skin-tone,[],"['\nThe Man Playing Water Polo: Medium-Light Skin Tone emoji is a ZWJ sequence combining 🤽 Person Playing Water Polo, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Playing Water Polo: Medium-Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-playing-water-polo-medium-skin-tone,[],"['\nThe Man Playing Water Polo: Medium Skin Tone emoji is a ZWJ sequence combining 🤽 Person Playing Water Polo, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Playing Water Polo: Medium Skin Tone was added to Emoji 4.0 in 2016.\n']
man-playing-water-polo,[],"['\nThe Man Playing Water Polo emoji is a ZWJ sequence combining 🤽 Person Playing Water Polo, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Playing Water Polo was added to Emoji 4.0 in 2016.\n']
man-police-officer-dark-skin-tone,[],"['\nThe Man Police Officer: Dark Skin Tone emoji is a ZWJ sequence combining 👮 Police Officer, 🏿 Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Police Officer: Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-police-officer-light-skin-tone,[],"['\nThe Man Police Officer: Light Skin Tone emoji is a ZWJ sequence combining 👮 Police Officer, 🏻 Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Police Officer: Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-police-officer-medium-dark-skin-tone,[],"['\nThe Man Police Officer: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 👮 Police Officer, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Police Officer: Medium-Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-police-officer-medium-light-skin-tone,[],"['\nThe Man Police Officer: Medium-Light Skin Tone emoji is a ZWJ sequence combining 👮 Police Officer, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Police Officer: Medium-Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-police-officer-medium-skin-tone,[],"['\nThe Man Police Officer: Medium Skin Tone emoji is a ZWJ sequence combining 👮 Police Officer, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Police Officer: Medium Skin Tone was added to Emoji 4.0 in 2016.\n\n']
man-police-officer,['The male version of the 👮\xa0Police Officer emoji. Currently identical in appearance to the non-gendered base emoji.'],"['\nThe Man Police Officer emoji is a ZWJ sequence combining 👮 Police Officer, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Police Officer was added to Emoji 4.0 in 2016.\n']
man-pouting-dark-skin-tone,[],"['\nThe Man Pouting: Dark Skin Tone emoji is a ZWJ sequence combining 🙎 Person Pouting, 🏿 Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Pouting: Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-pouting-light-skin-tone,[],"['\nThe Man Pouting: Light Skin Tone emoji is a ZWJ sequence combining 🙎 Person Pouting, 🏻 Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Pouting: Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-pouting-medium-dark-skin-tone,[],"['\nThe Man Pouting: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 🙎 Person Pouting, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Pouting: Medium-Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-pouting-medium-light-skin-tone,[],"['\nThe Man Pouting: Medium-Light Skin Tone emoji is a ZWJ sequence combining 🙎 Person Pouting, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Pouting: Medium-Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-pouting-medium-skin-tone,[],"['\nThe Man Pouting: Medium Skin Tone emoji is a ZWJ sequence combining 🙎 Person Pouting, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Pouting: Medium Skin Tone was added to Emoji 4.0 in 2016.\n']
man-pouting,['The male version of the 🙎\xa0Person With Pouting Face emoji.'],"['\nThe Man Pouting emoji is a ZWJ sequence combining 🙎 Person Pouting, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Pouting was added to Emoji 4.0 in 2016.\n']
man-raising-hand-dark-skin-tone,[],"['\nThe Man Raising Hand: Dark Skin Tone emoji is a ZWJ sequence combining 🙋 Person Raising Hand, 🏿 Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Raising Hand: Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-raising-hand-light-skin-tone,[],"['\nThe Man Raising Hand: Light Skin Tone emoji is a ZWJ sequence combining 🙋 Person Raising Hand, 🏻 Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Raising Hand: Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-raising-hand-medium-dark-skin-tone,[],"['\nThe Man Raising Hand: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 🙋 Person Raising Hand, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Raising Hand: Medium-Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-raising-hand-medium-light-skin-tone,[],"['\nThe Man Raising Hand: Medium-Light Skin Tone emoji is a ZWJ sequence combining 🙋 Person Raising Hand, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Raising Hand: Medium-Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-raising-hand-medium-skin-tone,[],"['\nThe Man Raising Hand: Medium Skin Tone emoji is a ZWJ sequence combining 🙋 Person Raising Hand, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Raising Hand: Medium Skin Tone was added to Emoji 4.0 in 2016.\n']
man-raising-hand,['The man version of the 🙋\xa0Happy Person Raising One Hand emoji.'],"['\nThe Man Raising Hand emoji is a ZWJ sequence combining 🙋 Person Raising Hand, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Raising Hand was added to Emoji 4.0 in 2016.\n']
man-red-hair,['The male version of 🧑\u200d🦰 Person with Red Hair.'],"['\nThe Man: Red Hair emoji is a ZWJ sequence combining 👨 Man, \u200d Zero Width Joiner and 🦰 Red Hair.\nThese display as a single emoji on supported platforms.\n']",['\nMan: Red Hair was added to Emoji 11.0 in 2018.\n']
man-rowing-boat-dark-skin-tone,[],"['\nThe Man Rowing Boat: Dark Skin Tone emoji is a ZWJ sequence combining 🚣 Person Rowing Boat, 🏿 Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Rowing Boat: Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-rowing-boat-light-skin-tone,[],"['\nThe Man Rowing Boat: Light Skin Tone emoji is a ZWJ sequence combining 🚣 Person Rowing Boat, 🏻 Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Rowing Boat: Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-rowing-boat-medium-dark-skin-tone,[],"['\nThe Man Rowing Boat: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 🚣 Person Rowing Boat, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Rowing Boat: Medium-Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-rowing-boat-medium-light-skin-tone,[],"['\nThe Man Rowing Boat: Medium-Light Skin Tone emoji is a ZWJ sequence combining 🚣 Person Rowing Boat, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Rowing Boat: Medium-Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-rowing-boat-medium-skin-tone,[],"['\nThe Man Rowing Boat: Medium Skin Tone emoji is a ZWJ sequence combining 🚣 Person Rowing Boat, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\n These display as a single emoji on supported platforms.\n']",['\nMan Rowing Boat: Medium Skin Tone was added to Emoji 4.0 in 2016.\n']
man-rowing-boat,['The male version of the 🚣\xa0Rowboat emoji. Currently identical in appearance to the non-gendered base emoji.'],"['\nThe Man Rowing Boat emoji is a ZWJ sequence combining 🚣 Person Rowing Boat, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Rowing Boat was added to Emoji 4.0 in 2016.\n']
man-running-dark-skin-tone,[],"['\nThe Man Running: Dark Skin Tone emoji is a ZWJ sequence combining 🏃 Person Running, 🏿 Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Running: Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-running-light-skin-tone,[],"['\nThe Man Running: Light Skin Tone emoji is a ZWJ sequence combining 🏃 Person Running, 🏻 Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Running: Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-running-medium-dark-skin-tone,[],"['\nThe Man Running: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 🏃 Person Running, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\n\nThese display as a single emoji on supported platforms.\n']",['\nMan Running: Medium-Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-running-medium-light-skin-tone,[],"['\nThe Man Running: Medium-Light Skin Tone emoji is a ZWJ sequence combining 🏃 Person Running, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Running: Medium-Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-running-medium-skin-tone,[],"['\nThe Man Running: Medium Skin Tone emoji is a ZWJ sequence combining 🏃 Person Running, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Running: Medium Skin Tone was added to Emoji 4.0 in 2016.\n']
man-running,['The male version of the 🏃\xa0Runner emoji.\xa0Currently identical in appearance to the non-gendered base emoji.'],"['\nThe Man Running emoji is a ZWJ sequence combining 🏃 Person Running, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Running was added to Emoji 4.0 in 2016.\n']
man-scientist-dark-skin-tone,[],"['\nThe Man Scientist: Dark Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏿 Dark Skin Tone, \u200d Zero Width Joiner and 🔬 Microscope.\nThese display as a single emoji on supported platforms.\n']",['\nMan Scientist: Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-scientist-light-skin-tone,[],"['\nThe Man Scientist: Light Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏻 Light Skin Tone, \u200d Zero Width Joiner and 🔬 Microscope.\nThese display as a single emoji on supported platforms.\n']",['\nMan Scientist: Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-scientist-medium-dark-skin-tone,[],"['\nThe Man Scientist: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and 🔬 Microscope.\nThese display as a single emoji on supported platforms.\n']",['\nMan Scientist: Medium-Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-scientist-medium-light-skin-tone,[],"['\nThe Man Scientist: Medium-Light Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and 🔬 Microscope.\nThese display as a single emoji on supported platforms.\n']",['\nMan Scientist: Medium-Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-scientist-medium-skin-tone,[],"['\nThe Man Scientist: Medium Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and 🔬 Microscope.\nThese display as a single emoji on supported platforms.\n']",['\nMan Scientist: Medium Skin Tone was added to Emoji 4.0 in 2016.\n']
man-scientist,[],"['\nThe Man Scientist emoji is a ZWJ sequence combining 👨 Man, \u200d Zero Width Joiner and 🔬 Microscope.\nThese display as a single emoji on supported platforms.\n']",['\nMan Scientist was added to Emoji 4.0 in 2016.\n']
man-shrugging-dark-skin-tone,[],"['\nThe Man Shrugging: Dark Skin Tone emoji is a ZWJ sequence combining 🤷 Person Shrugging, 🏿 Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Shrugging: Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-shrugging-light-skin-tone,[],"['\nThe Man Shrugging: Light Skin Tone emoji is a ZWJ sequence combining 🤷 Person Shrugging, 🏻 Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Shrugging: Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-shrugging-medium-dark-skin-tone,[],"['\nThe Man Shrugging: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 🤷 Person Shrugging, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Shrugging: Medium-Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-shrugging-medium-light-skin-tone,[],"['\nThe Man Shrugging: Medium-Light Skin Tone emoji is a ZWJ sequence combining 🤷 Person Shrugging, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Shrugging: Medium-Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-shrugging-medium-skin-tone,[],"['\nThe Man Shrugging: Medium Skin Tone emoji is a ZWJ sequence combining 🤷 Person Shrugging, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Shrugging: Medium Skin Tone was added to Emoji 4.0 in 2016.\n']
man-shrugging,[],"['\nThe Man Shrugging emoji is a ZWJ sequence combining 🤷 Person Shrugging, \u200d Zero Width Joiner and ♂️ Male Sign.\nThese display as a single emoji on supported platforms.\n']",['\nMan Shrugging was added to Emoji 4.0 in 2016.\n']
man-singer-dark-skin-tone,[],"['\nThe Man Singer: Dark Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏿 Dark Skin Tone, \u200d Zero Width Joiner and 🎤 Microphone.\nThese display as a single emoji on supported platforms.\n']",['\nMan Singer: Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-singer-light-skin-tone,[],"['\nThe Man Singer: Light Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏻 Light Skin Tone, \u200d Zero Width Joiner and 🎤 Microphone.\nThese display as a single emoji on supported platforms.\n']",['\nMan Singer: Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-singer-medium-dark-skin-tone,[],"['\nThe Man Singer: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏾 Medium-Dark Skin Tone, \u200d Zero Width Joiner and 🎤 Microphone.\nThese display as a single emoji on supported platforms.\n']",['\nMan Singer: Medium-Dark Skin Tone was added to Emoji 4.0 in 2016.\n']
man-singer-medium-light-skin-tone,[],"['\nThe Man Singer: Medium-Light Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏼 Medium-Light Skin Tone, \u200d Zero Width Joiner and 🎤 Microphone.\nThese display as a single emoji on supported platforms.\n']",['\nMan Singer: Medium-Light Skin Tone was added to Emoji 4.0 in 2016.\n']
man-singer-medium-skin-tone,[],"['\nThe Man Singer: Medium Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏽 Medium Skin Tone, \u200d Zero Width Joiner and 🎤 Microphone.\nThese display as a single emoji on supported platforms.\n']",['\nMan Singer: Medium Skin Tone was added to Emoji 4.0 in 2016.\n']
man-singer,"['A man singer or rock star\xa0generally displayed with a microphone, and sometimes musical notes.', 'iOS and Android display this emoji as a Bowie-esque figure while\xa0WhatsApp appears heavily inspired by Prince.']","['\nThe Man Singer emoji is a ZWJ sequence combining 👨 Man, \u200d Zero Width Joiner and 🎤 Microphone.\nThese display as a single emoji on supported platforms.\n']",['\nMan Singer was added to Emoji 4.0 in 2016.\n']
